DietPlanID,PlanName,DailyCost
27,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,16.66
28,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,77.75
29,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,59.46
30,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,79.26
31,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,38.54
32,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,63.3
33,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,81.63
34,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,45.61
35,erat eros viverra eget congue eget semper rutrum nulla nunc purus,83.02
36,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non,13.52
37,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,16.93
38,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,17.6
39,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,79.56
40,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,66.38
41,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,74.98
42,nisl venenatis lacinia aenean sit amet justo morbi ut odio,13.05
43,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,53.86
44,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,7.19
45,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,71.28
46,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,42.95
47,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,67.1
48,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,60.06
49,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,21.81
50,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,95.76
51,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,30.65
52,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,18.55
53,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,37.34
54,neque sapien placerat ante nulla justo aliquam quis turpis eget,29.37
55,risus praesent lectus vestibulum quam sapien varius ut blandit non,28.55
56,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,35.74
57,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,59.12
58,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,62.4
59,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,51.5
60,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,39.07
61,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,66.34
62,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,65.62
63,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,47.97
64,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,47.48
65,eu massa donec dapibus duis at velit eu est congue elementum in,16.61
66,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,75.13
67,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,96.8
68,eu mi nulla ac enim in tempor turpis nec euismod,87.14
69,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,82.85
70,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,6.78
71,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,10.44
72,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,84.85
73,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,98.24
74,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,82.74
75,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,48.48
76,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,10.85
77,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,25.32
78,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,57.19
79,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,65.81
80,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,10.3
81,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,54.52
82,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,19.54
83,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,79.47
84,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,36.28
85,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,79.35
86,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,11.0
87,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,68.06
88,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,65.47
89,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,14.81
90,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,78.64
91,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,41.31
92,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,34.39
93,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,30.49
94,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,24.51
95,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,48.33
96,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,62.37
97,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,80.29
98,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,76.11
99,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,74.3
100,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,30.64
101,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,22.61
102,vulputate ut ultrices vel augue vestibulum ante ipsum primis in,31.62
103,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,85.0
104,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,10.57
105,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,65.68
106,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,72.01
107,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,47.35
108,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,66.59
109,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,51.61
110,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,29.09
111,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,25.07
112,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,85.01
113,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,34.99
114,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,93.85
115,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,38.18
116,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,80.02
117,venenatis tristique fusce congue diam id ornare imperdiet sapien urna,80.95
118,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,9.5
119,vestibulum sit amet cursus id turpis integer aliquet massa id,18.96
120,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,45.1
121,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,15.63
122,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,76.42
123,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,20.82
124,donec diam neque vestibulum eget vulputate ut ultrices vel augue,42.79
125,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,43.9
126,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,23.77
127,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,34.52
128,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,59.59
129,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,80.64
130,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,15.25
131,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et,66.95
132,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,16.99
133,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,50.88
134,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,17.02
135,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,13.2
136,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,14.13
137,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,96.07
138,quisque porta volutpat erat quisque erat eros viverra eget congue,90.57
139,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,85.28
140,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,72.54
141,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,41.17
142,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,17.62
143,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,60.57
144,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,19.05
145,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,71.64
146,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,58.68
147,in purus eu magna vulputate luctus cum sociis natoque penatibus et,26.87
148,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,98.46
149,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,87.93
150,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,48.4
151,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,47.79
152,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,93.53
153,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,51.23
154,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,69.08
155,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,14.45
156,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,91.91
157,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,65.08
158,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,39.97
159,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,43.42
160,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,90.75
161,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,48.21
162,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,25.31
163,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,45.31
164,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,27.84
165,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,16.3
166,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,54.96
167,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,60.44
168,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,48.89
169,consequat ut nulla sed accumsan felis ut at dolor quis odio,90.26
170,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,78.28
171,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,8.01
172,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,73.0
173,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,77.01
174,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,78.65
175,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,91.65
176,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,29.58
177,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,47.13
178,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,61.35
179,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,52.99
180,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,38.56
181,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,14.67
182,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,98.55
183,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,75.01
184,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,91.48
185,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,38.08
186,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,91.94
187,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,31.59
188,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et,71.45
189,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,89.83
190,non mi integer ac neque duis bibendum morbi non quam nec,91.41
191,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,40.64
192,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,68.37
193,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,11.6
194,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,43.45
195,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,57.31
196,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,68.41
197,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,97.25
198,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,57.71
199,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,28.58
200,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,96.22
201,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,17.58
202,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,16.39
203,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,39.25
204,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,93.78
205,mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,25.51
206,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,28.31
207,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,46.01
208,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,58.53
209,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,76.92
210,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,22.54
211,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,17.15
212,dui vel sem sed sagittis nam congue risus semper porta volutpat,38.86
213,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,16.58
214,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,43.07
215,eget rutrum at lorem integer tincidunt ante vel ipsum praesent,39.86
216,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,45.49
217,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,53.02
218,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,6.61
219,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,51.17
220,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,84.12
221,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,58.51
222,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,8.33
223,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,83.72
224,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,79.2
225,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,71.34
226,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,69.13
227,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,52.45
228,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,31.6
229,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,67.72
230,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,38.11
231,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,88.25
232,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,73.84
233,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,87.02
234,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,38.11
235,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,82.59
236,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,75.77
237,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,25.4
238,nunc donec quis orci eget orci vehicula condimentum curabitur in libero,14.83
239,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,89.64
240,tellus nulla ut erat id mauris vulputate elementum nullam varius,28.62
241,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,88.56
242,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,28.09
243,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,23.36
244,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,37.01
245,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,43.57
246,at turpis a pede posuere nonummy integer non velit donec,5.73
247,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,53.74
248,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,39.51
249,volutpat in congue etiam justo etiam pretium iaculis justo in,23.29
250,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,28.86
251,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,53.3
252,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,74.7
253,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,33.36
254,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,55.37
255,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,32.25
256,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,67.28
257,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,34.05
258,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,81.28
259,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,69.73
260,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,5.91
261,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,10.43
262,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,65.99
263,dolor morbi vel lectus in quam fringilla rhoncus mauris enim,42.32
264,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,37.19
265,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,15.06
266,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,35.37
267,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,10.94
268,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,87.94
269,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,37.05
270,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,81.14
271,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,71.14
272,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,31.37
273,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,59.22
274,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,26.36
275,eu mi nulla ac enim in tempor turpis nec euismod scelerisque,86.15
276,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,83.37
277,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,32.62
278,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,9.37
279,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,60.79
280,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,38.39
281,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,68.77
282,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,29.54
283,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,91.49
284,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,67.65
285,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,22.32
286,dui vel nisl duis ac nibh fusce lacus purus aliquet,9.44
287,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,89.2
288,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,89.53
289,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,19.96
290,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,82.16
291,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,9.22
292,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,38.18
293,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,20.25
294,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,49.14
295,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,88.21
