RecordID,CheckupDate,Weight,HealthStatus,AnimalID
109,2020-12-02,326.45,Recovering,109
110,2021-11-28,354.73,Recovering,110
111,2018-04-02,402.23,Under Observation,111
112,2023-04-02,107.54,Sick,112
113,2020-08-09,294.32,Critical,113
114,2022-07-20,388.69,Critical,114
115,2025-08-07,72.77,Under Observation,115
116,2023-05-29,402.32,Under Observation,116
117,2021-07-30,354.09,Recovering,117
118,2024-01-11,403.36,Under Observation,118
119,2021-11-17,382.43,Healthy,119
120,2021-12-11,154.24,Recovering,120
121,2015-07-27,179.49,Recovering,121
122,2022-08-09,264.23,Sick,122
123,2020-07-01,415.6,Under Observation,123
124,2025-04-07,342.19,Under Observation,124
125,2018-03-06,374.34,Critical,125
126,2024-01-30,51.58,Recovering,126
127,2024-11-16,304.01,Recovering,127
128,2025-08-03,368.4,Critical,128
129,2025-03-20,489.08,Critical,129
130,2024-03-22,152.94,Healthy,130
131,2023-07-08,73.83,Under Observation,131
132,2024-12-13,261.67,Sick,132
133,2024-03-10,327.82,Critical,133
134,2025-04-22,272.06,Critical,134
135,2023-12-30,174.85,Under Observation,135
136,2021-12-15,379.52,Critical,136
137,2024-12-13,268.73,Under Observation,137
138,2023-02-04,471.0,Healthy,138
139,2025-12-03,419.85,Sick,139
140,2019-08-01,106.03,Healthy,140
141,2016-10-18,48.97,Under Observation,141
142,2025-01-01,465.71,Sick,142
143,2023-09-10,205.02,Recovering,143
144,2024-03-28,111.5,Sick,144
145,2024-06-13,394.74,Healthy,145
146,2025-12-28,197.01,Recovering,146
147,2025-04-23,373.63,Healthy,147
148,2022-10-29,143.63,Recovering,148
149,2024-09-03,477.35,Sick,149
150,2025-08-25,160.28,Healthy,150
151,2022-09-15,298.91,Recovering,151
152,2016-07-17,207.67,Critical,152
153,2020-01-23,301.81,Critical,153
154,2024-04-21,187.48,Sick,154
155,2026-01-27,205.24,Under Observation,155
156,2023-03-11,86.47,Healthy,156
157,2024-11-21,162.75,Healthy,157
158,2024-04-18,123.91,Recovering,158
159,2017-09-22,388.5,Recovering,159
160,2026-02-14,105.19,Sick,160
161,2020-10-23,480.13,Under Observation,161
162,2025-03-28,478.41,Critical,162
163,2024-02-15,334.13,Healthy,163
164,2022-11-19,13.08,Recovering,164
165,2024-06-29,261.51,Healthy,165
166,2024-12-29,70.77,Critical,166
167,2014-07-28,484.97,Critical,167
168,2020-03-30,363.03,Sick,168
169,2022-01-09,294.59,Healthy,169
170,2021-03-18,432.75,Recovering,170
171,2023-11-04,225.22,Recovering,171
172,2025-06-08,460.48,Recovering,172
173,2018-08-10,215.77,Sick,173
174,2022-06-22,453.8,Under Observation,174
175,2021-12-21,99.01,Healthy,175
176,2021-08-25,354.01,Sick,176
177,2024-11-26,384.65,Sick,177
178,2025-09-06,452.81,Recovering,178
179,2026-03-25,210.32,Recovering,179
180,2024-03-31,26.96,Healthy,180
181,2022-10-19,136.1,Recovering,181
182,2021-02-25,444.37,Under Observation,182
183,2021-01-02,479.48,Under Observation,183
184,2019-08-02,330.05,Recovering,184
185,2023-01-20,107.35,Critical,185
186,2017-04-27,458.46,Recovering,186
187,2025-11-24,255.97,Under Observation,187
188,2023-12-26,237.91,Healthy,188
189,2019-07-23,109.36,Healthy,189
190,2025-03-04,294.71,Sick,190
191,2020-02-02,447.05,Sick,191
192,2023-02-17,26.16,Healthy,192
193,2021-10-01,94.77,Under Observation,193
194,2023-10-15,435.44,Critical,194
195,2024-01-04,253.88,Under Observation,195
196,2021-07-13,485.37,Healthy,196
197,2022-11-16,357.62,Under Observation,197
198,2024-10-23,254.38,Critical,198
199,2025-07-03,305.69,Healthy,199
200,2016-03-31,103.87,Critical,200
201,2026-01-30,305.31,Healthy,201
202,2023-09-18,354.08,Under Observation,202
203,2024-12-04,373.54,Critical,203
204,2024-05-04,347.74,Recovering,204
205,2026-02-19,492.8,Healthy,205
206,2017-02-06,479.77,Critical,206
207,2022-06-20,406.26,Sick,207
208,2026-02-06,255.31,Critical,208
209,2024-09-10,405.8,Under Observation,209
210,2017-03-31,246.47,Sick,210
211,2022-04-14,415.7,Healthy,211
212,2022-12-04,106.59,Sick,212
213,2025-06-06,441.55,Under Observation,213
214,2025-10-08,492.1,Sick,214
215,2013-11-04,383.38,Sick,215
216,2025-06-23,226.93,Sick,216
217,2011-11-30,369.69,Sick,217
218,2024-03-13,21.51,Recovering,218
219,2024-05-08,460.88,Sick,219
220,2022-04-05,119.12,Sick,220
221,2022-02-26,424.48,Recovering,221
222,2017-03-29,142.68,Sick,222
223,2018-06-09,433.43,Under Observation,223
224,2025-12-30,335.67,Recovering,224
225,2023-11-29,368.9,Under Observation,225
226,2019-05-15,391.33,Sick,226
227,2025-08-27,318.07,Under Observation,227
228,2021-06-28,47.07,Recovering,228
229,2022-07-20,476.6,Critical,229
230,2018-05-22,9.92,Healthy,230
231,2023-11-17,428.48,Under Observation,231
232,2021-11-14,264.96,Recovering,232
233,2025-11-23,74.36,Healthy,233
234,2017-04-19,401.88,Healthy,234
235,2026-02-20,336.54,Healthy,235
236,2021-04-13,269.8,Healthy,236
237,2017-04-28,213.34,Recovering,237
238,2020-06-13,107.33,Under Observation,238
239,2026-02-10,110.46,Sick,239
240,2020-05-02,98.31,Recovering,240
241,2024-05-05,48.37,Critical,241
242,2021-08-31,462.19,Recovering,242
243,2018-06-07,166.4,Under Observation,243
244,2022-07-28,104.06,Healthy,244
245,2020-03-21,345.01,Under Observation,245
246,2022-11-24,366.96,Under Observation,246
247,2018-09-21,11.25,Recovering,247
248,2013-12-21,38.76,Sick,248
249,2024-05-22,429.46,Under Observation,249
250,2023-06-20,362.38,Critical,250
251,2025-06-11,259.4,Recovering,251
252,2021-06-24,119.31,Critical,252
253,2024-05-27,489.13,Recovering,253
254,2024-11-24,253.49,Recovering,254
255,2026-03-09,98.99,Healthy,255
256,2022-11-03,351.2,Critical,256
257,2019-04-21,26.67,Under Observation,257
258,2023-11-25,238.77,Healthy,258
259,2019-09-27,305.51,Recovering,259
260,2020-12-28,150.49,Recovering,260
261,2014-10-20,407.25,Under Observation,261
262,2020-11-20,250.85,Healthy,262
263,2017-05-05,204.41,Sick,263
264,2021-09-06,427.96,Sick,264
265,2025-02-24,446.0,Healthy,265
266,2013-04-27,359.88,Recovering,266
267,2025-12-09,141.89,Under Observation,267
268,2013-09-15,429.52,Sick,268
269,2018-10-22,355.91,Critical,269
270,2023-11-29,175.97,Critical,270
271,2023-04-06,414.41,Healthy,271
272,2024-03-06,168.45,Sick,272
273,2025-02-12,358.72,Recovering,273
274,2025-12-23,98.88,Under Observation,274
275,2020-01-06,36.15,Healthy,275
276,2022-01-22,113.62,Under Observation,276
277,2014-03-16,317.98,Critical,277
278,2025-04-28,97.52,Recovering,278
279,2020-10-26,359.7,Recovering,279
280,2020-08-30,46.24,Recovering,280
281,2024-11-30,114.92,Critical,281
282,2015-12-20,441.44,Recovering,282
283,2021-01-29,13.67,Sick,283
284,2015-02-25,410.69,Under Observation,284
285,2023-11-30,218.06,Sick,285
286,2024-03-05,171.31,Recovering,286
287,2025-12-21,324.94,Healthy,287
288,2023-05-19,444.65,Under Observation,288
289,2018-08-04,409.07,Critical,289
290,2020-04-21,291.88,Under Observation,290
291,2026-02-18,183.57,Recovering,291
292,2026-02-09,73.98,Healthy,292
293,2018-06-19,483.17,Critical,293
294,2024-03-17,437.05,Recovering,294
295,2024-03-17,180.91,Under Observation,295
296,2024-04-08,290.13,Sick,296
297,2022-05-24,98.45,Recovering,297
298,2021-03-08,405.66,Sick,298
299,2025-10-26,260.36,Healthy,299
300,2025-08-02,83.72,Critical,300
301,2026-01-14,235.75,Critical,301
302,2025-11-12,152.48,Critical,302
303,2023-03-05,476.19,Under Observation,303
304,2024-06-20,290.96,Recovering,304
305,2024-01-26,51.31,Critical,305
306,2020-10-07,25.23,Recovering,306
307,2025-10-16,161.48,Sick,307
308,2015-04-13,447.95,Healthy,308
309,2025-12-13,96.82,Recovering,309
310,2023-01-27,422.13,Recovering,310
311,2024-11-03,158.89,Sick,311
312,2023-10-06,346.48,Under Observation,312
313,2023-01-03,160.1,Critical,313
314,2025-09-25,410.85,Under Observation,314
315,2018-09-06,135.7,Under Observation,315
316,2023-05-15,5.18,Under Observation,316
317,2025-05-29,426.27,Critical,317
318,2016-05-18,173.61,Recovering,318
319,2022-03-16,152.73,Recovering,319
320,2017-11-08,220.41,Healthy,320
321,2022-05-29,24.88,Sick,321
322,2024-07-07,272.57,Recovering,322
323,2025-11-06,274.24,Healthy,323
324,2022-03-07,277.45,Recovering,324
325,2025-02-07,221.18,Critical,325
326,2019-10-04,370.58,Healthy,326
327,2019-04-29,62.51,Healthy,327
328,2015-08-05,449.4,Under Observation,328
329,2020-02-01,413.36,Critical,329
330,2023-09-17,476.9,Critical,330
331,2020-10-06,260.55,Healthy,331
332,2024-08-03,40.63,Recovering,332
333,2022-07-14,167.26,Recovering,333
334,2023-09-08,439.37,Healthy,334
335,2023-12-04,101.22,Healthy,335
336,2015-03-12,478.39,Under Observation,336
337,2025-10-11,416.33,Healthy,337
338,2025-05-15,495.73,Sick,338
339,2014-11-01,429.23,Critical,339
340,2015-07-01,277.47,Recovering,340
341,2017-09-25,138.58,Under Observation,341
342,2025-05-05,167.99,Critical,342
343,2020-09-07,313.25,Sick,343
344,2025-08-06,9.68,Sick,344
345,2025-07-06,440.64,Sick,345
346,2012-10-16,418.89,Healthy,346
347,2024-06-16,407.0,Sick,347
348,2021-05-02,17.74,Healthy,348
349,2013-06-14,166.41,Sick,349
350,2019-01-31,92.28,Recovering,350
351,2024-09-22,367.3,Healthy,351
352,2022-02-06,18.66,Critical,352
353,2017-08-19,106.58,Sick,353
354,2024-07-02,381.01,Critical,354
355,2024-06-18,85.73,Under Observation,355
356,2025-08-01,202.39,Under Observation,356
357,2020-08-24,291.43,Under Observation,357
358,2018-12-05,405.39,Sick,358
359,2023-09-14,240.1,Healthy,359
360,2025-05-21,363.86,Sick,360
361,2025-11-08,37.12,Sick,361
362,2025-02-01,316.2,Critical,362
363,2025-12-29,387.72,Recovering,363
364,2014-09-05,139.63,Recovering,364
365,2017-12-30,97.36,Under Observation,365
366,2023-05-20,388.12,Under Observation,366
367,2025-11-10,82.06,Recovering,367
368,2021-02-13,100.85,Critical,368
369,2025-10-31,388.56,Healthy,369
370,2022-10-27,393.36,Sick,370
371,2017-04-09,183.03,Sick,371
372,2025-12-16,99.9,Critical,372
373,2013-06-08,143.98,Recovering,373
374,2022-01-07,130.99,Recovering,374
375,2025-07-20,420.7,Sick,375
376,2025-08-19,183.08,Under Observation,376
377,2019-12-28,143.6,Healthy,377
378,2023-11-23,166.33,Sick,378
379,2016-07-02,111.05,Recovering,379
380,2015-09-17,13.45,Recovering,380
381,2025-03-24,223.9,Under Observation,381
382,2025-06-30,321.18,Under Observation,382
383,2023-09-07,270.16,Healthy,383
384,2025-03-10,302.17,Recovering,384
385,2025-12-07,226.37,Under Observation,385
386,2011-07-11,214.37,Under Observation,386
387,2022-05-07,141.94,Healthy,387
388,2022-08-08,119.53,Healthy,388
389,2021-12-05,415.07,Healthy,389
390,2022-05-29,343.92,Recovering,390
391,2021-06-10,417.06,Healthy,391
392,2021-12-06,239.82,Under Observation,392
393,2018-11-28,108.71,Critical,393
394,2025-11-07,153.5,Critical,394
395,2023-12-24,366.32,Under Observation,395
396,2022-10-30,425.42,Under Observation,396
397,2024-05-12,354.53,Recovering,397
398,2017-10-22,142.89,Sick,398
399,2018-06-18,387.0,Healthy,399
400,2024-11-28,231.91,Under Observation,400
401,2013-02-20,48.77,Sick,401
402,2026-01-06,168.15,Under Observation,402
403,2015-05-06,474.4,Under Observation,403
404,2025-02-18,360.76,Sick,404
405,2021-04-20,456.99,Sick,405
406,2022-01-05,243.18,Under Observation,406
407,2025-10-26,299.14,Healthy,407
408,2025-01-14,51.41,Under Observation,408
409,2024-06-08,159.73,Healthy,409
410,2025-07-04,108.06,Critical,410
411,2020-12-27,325.1,Sick,411
412,2015-12-26,272.08,Under Observation,412
413,2016-09-04,470.39,Critical,413
414,2025-01-31,406.39,Under Observation,414
415,2026-02-20,175.17,Sick,415
416,2019-03-01,162.97,Critical,416
417,2015-12-27,335.39,Under Observation,417
418,2011-04-22,429.34,Sick,418
419,2019-07-07,467.46,Healthy,419
420,2025-05-31,352.09,Sick,420
421,2020-06-14,41.05,Healthy,421
422,2022-11-02,302.02,Critical,422
423,2022-05-18,8.89,Recovering,423
424,2024-11-06,459.4,Healthy,424
425,2023-04-24,348.47,Under Observation,425
426,2022-04-22,499.14,Sick,426
427,2020-12-25,309.39,Healthy,427
428,2022-10-29,390.15,Critical,428
429,2022-07-23,174.02,Healthy,429
430,2025-03-08,97.5,Sick,430
431,2023-02-25,300.15,Critical,431
432,2024-08-23,25.68,Recovering,432
433,2024-09-04,299.92,Sick,433
434,2025-09-22,317.8,Recovering,434
435,2019-07-20,239.77,Critical,435
436,2024-05-16,247.89,Recovering,436
437,2024-08-15,71.6,Recovering,437
438,2021-08-15,196.14,Sick,438
439,2012-03-18,153.01,Under Observation,439
440,2023-06-25,350.63,Healthy,440
441,2024-06-14,123.94,Critical,441
442,2024-08-09,289.21,Recovering,442
443,2017-12-22,314.96,Recovering,443
444,2019-08-04,129.06,Recovering,444
445,2026-03-17,166.63,Sick,445
446,2024-07-06,74.76,Sick,446
447,2012-02-28,388.33,Critical,447
448,2012-01-24,393.04,Recovering,448
449,2023-01-04,451.18,Healthy,449
450,2026-01-07,281.22,Under Observation,450
451,2015-11-05,417.16,Under Observation,451
452,2024-07-13,367.88,Sick,452
453,2024-03-11,381.35,Critical,453
454,2018-09-21,228.52,Healthy,454
455,2023-07-16,315.67,Critical,455
456,2023-03-24,218.9,Critical,456
457,2025-03-14,62.73,Critical,457
458,2018-03-09,382.73,Sick,458
459,2020-06-18,29.77,Critical,459
460,2024-09-29,350.21,Under Observation,460
461,2026-03-13,342.56,Under Observation,461
462,2015-12-01,82.05,Critical,462
463,2019-03-23,138.36,Recovering,463
464,2025-06-16,78.93,Healthy,464
465,2020-05-02,146.58,Under Observation,465
466,2021-05-31,446.8,Recovering,466
467,2025-12-07,295.94,Healthy,467
468,2019-01-04,118.88,Recovering,468
469,2023-06-05,302.82,Critical,469
470,2022-10-05,10.72,Recovering,470
471,2025-08-03,364.71,Critical,471
472,2013-08-23,151.42,Critical,472
473,2018-01-13,163.44,Under Observation,473
474,2025-02-02,268.18,Critical,474
475,2020-07-31,135.81,Healthy,475
476,2023-11-22,306.01,Critical,476
477,2016-01-29,447.17,Recovering,477
478,2024-07-12,491.24,Sick,478
479,2017-03-12,292.68,Healthy,479
480,2025-11-16,347.88,Recovering,480
481,2024-10-19,484.77,Recovering,481
482,2018-06-29,445.6,Under Observation,482
483,2015-02-18,64.19,Healthy,483
484,2021-12-27,40.97,Critical,484
485,2021-06-26,175.05,Healthy,485
486,2022-06-01,465.38,Critical,486
487,2026-03-07,369.83,Critical,487
488,2021-06-30,299.72,Healthy,488
489,2021-10-25,169.93,Under Observation,489
490,2022-04-16,340.46,Under Observation,490
491,2026-02-03,64.23,Healthy,491
492,2021-12-15,225.03,Sick,492
493,2024-12-21,372.79,Sick,493
494,2024-07-27,346.35,Under Observation,494
495,2023-12-25,84.38,Recovering,495
496,2026-01-10,121.49,Under Observation,496
497,2025-10-26,426.52,Recovering,497
498,2025-08-21,468.68,Healthy,498
499,2020-06-10,327.85,Healthy,499
500,2016-10-15,53.68,Healthy,500
501,2025-08-15,435.89,Recovering,501
502,2024-09-26,227.57,Healthy,502
503,2017-12-23,71.55,Under Observation,503
504,2025-12-19,191.02,Recovering,504
505,2025-01-28,411.33,Recovering,505
506,2019-12-30,179.59,Healthy,506
507,2024-10-22,276.68,Sick,507
508,2019-05-22,445.24,Healthy,508
509,2010-10-03,470.29,Under Observation,509
510,2024-03-04,364.26,Recovering,510
511,2023-10-21,420.45,Healthy,511
512,2024-09-26,403.53,Sick,512
513,2021-03-14,56.71,Healthy,513
514,2025-09-05,422.27,Critical,514
515,2023-11-14,478.47,Under Observation,515
516,2020-02-07,297.83,Under Observation,516
517,2026-03-03,433.85,Sick,517
518,2014-07-28,137.76,Sick,518
519,2025-03-16,59.57,Sick,519
520,2022-11-27,184.79,Sick,520
521,2024-10-15,111.92,Sick,521
522,2024-03-03,346.89,Recovering,522
523,2012-05-26,209.62,Sick,523
524,2018-11-06,64.93,Critical,524
525,2023-06-29,104.32,Recovering,525
526,2024-04-29,382.8,Recovering,526
527,2025-11-21,490.74,Sick,527
528,2020-05-21,474.29,Healthy,528
529,2020-02-10,56.53,Sick,529
530,2026-02-04,477.33,Recovering,530
531,2016-11-28,478.91,Healthy,531
532,2022-06-28,268.68,Under Observation,532
533,2024-03-10,372.2,Sick,533
534,2026-02-06,331.49,Critical,534
535,2020-03-02,466.24,Sick,535
536,2024-02-17,224.17,Under Observation,536
537,2020-03-21,366.47,Sick,537
538,2025-02-05,480.92,Under Observation,538
539,2024-07-28,100.35,Critical,539
540,2022-03-10,339.52,Healthy,540
541,2025-12-08,486.87,Critical,541
542,2022-06-18,356.76,Healthy,542
543,2023-07-05,58.26,Recovering,543
544,2025-07-11,191.11,Under Observation,544
545,2019-12-03,423.8,Under Observation,545
546,2025-11-29,398.63,Healthy,546
547,2019-03-19,254.94,Critical,547
548,2021-08-05,84.4,Sick,548
549,2021-06-14,114.12,Healthy,549
550,2014-06-16,94.09,Under Observation,550
551,2023-03-16,51.03,Sick,551
552,2012-03-16,404.86,Healthy,552
553,2025-10-24,82.31,Healthy,553
554,2025-12-06,81.57,Sick,554
555,2022-02-19,146.04,Under Observation,555
556,2022-01-28,397.94,Under Observation,556
557,2020-11-10,268.67,Under Observation,557
558,2025-08-08,261.67,Under Observation,558
559,2025-04-03,64.66,Critical,559
560,2024-06-20,485.15,Under Observation,560
561,2018-11-24,276.96,Healthy,561
562,2025-06-15,342.22,Under Observation,562
563,2020-12-28,214.02,Healthy,563
564,2021-09-13,384.24,Healthy,564
565,2019-07-27,189.18,Under Observation,565
566,2025-03-19,280.87,Sick,566
567,2025-07-16,123.76,Sick,567
568,2016-09-06,427.12,Recovering,568
569,2025-12-10,306.37,Critical,569
570,2025-07-31,364.59,Under Observation,570
571,2025-02-26,61.05,Critical,571
572,2022-12-06,491.04,Under Observation,572
573,2025-07-31,300.09,Recovering,573
574,2019-03-22,95.36,Sick,574
575,2020-05-31,450.9,Critical,575
576,2025-03-01,181.21,Healthy,576
577,2025-09-15,491.91,Under Observation,577
578,2019-06-24,200.4,Sick,578
579,2022-10-22,203.61,Sick,579
580,2020-02-23,59.22,Sick,580
581,2013-03-09,136.2,Sick,581
582,2023-07-14,35.02,Under Observation,582
583,2019-05-07,223.41,Critical,583
584,2024-02-22,100.34,Critical,584
585,2021-11-30,177.99,Healthy,585
586,2018-06-05,110.39,Recovering,586
587,2025-01-01,146.28,Sick,587
588,2014-03-24,170.19,Sick,588
589,2018-09-30,400.19,Recovering,589
590,2022-12-17,269.59,Sick,590
591,2024-10-23,424.74,Critical,591
592,2023-02-03,26.91,Under Observation,592
593,2018-04-19,52.63,Healthy,593
594,2023-12-29,27.45,Healthy,594
595,2024-05-02,227.01,Recovering,595
596,2025-03-03,449.82,Recovering,596
597,2017-06-27,304.03,Healthy,597
598,2024-08-17,212.73,Under Observation,598
599,2021-04-22,275.96,Under Observation,599
600,2024-09-01,125.51,Critical,600
601,2025-01-05,181.51,Healthy,601
602,2025-03-25,309.42,Recovering,602
603,2019-06-21,173.55,Recovering,603
604,2025-11-14,121.43,Critical,604
605,2022-10-18,65.39,Under Observation,605
606,2024-06-27,157.14,Sick,606
607,2022-11-25,150.6,Healthy,607
608,2015-05-21,103.98,Under Observation,608
609,2023-10-18,464.47,Healthy,609
610,2019-02-05,314.21,Healthy,610
611,2017-09-17,213.41,Critical,611
612,2014-07-22,452.25,Under Observation,612
613,2024-02-18,366.38,Critical,613
614,2022-12-30,289.08,Under Observation,614
615,2017-10-25,391.29,Recovering,615
616,2018-11-03,103.28,Under Observation,616
617,2025-12-15,96.16,Sick,617
618,2016-02-14,83.17,Recovering,618
619,2024-07-06,64.76,Recovering,619
620,2019-03-09,36.42,Sick,620
621,2019-07-03,225.75,Under Observation,621
622,2016-09-21,469.08,Sick,622
623,2015-11-19,314.38,Critical,623
624,2024-05-09,276.98,Under Observation,624
625,2023-10-06,188.71,Recovering,625
626,2024-01-27,464.67,Recovering,626
627,2020-08-10,93.22,Healthy,627
628,2023-05-09,12.18,Under Observation,628
629,2026-01-10,289.1,Critical,629
630,2024-01-28,360.09,Recovering,630
631,2024-02-05,306.31,Healthy,631
632,2024-01-07,270.45,Critical,632
633,2024-09-29,201.93,Sick,633
634,2019-01-14,360.75,Healthy,634
635,2024-12-02,468.94,Healthy,635
636,2023-06-15,207.97,Critical,636
637,2023-01-28,172.83,Recovering,637
638,2025-03-02,199.07,Under Observation,638
639,2022-09-26,128.94,Under Observation,639
640,2025-08-03,240.56,Under Observation,640
641,2023-09-05,244.94,Healthy,641
642,2020-10-13,376.33,Recovering,642
643,2018-05-15,281.59,Critical,643
644,2024-07-04,238.58,Under Observation,644
645,2024-10-22,116.36,Sick,645
646,2023-04-03,236.76,Sick,646
647,2024-09-14,263.29,Recovering,647
648,2021-03-01,394.01,Recovering,648
649,2022-01-17,167.74,Critical,649
650,2024-06-04,284.22,Sick,650
651,2020-07-16,276.81,Recovering,651
652,2019-01-30,425.41,Under Observation,652
653,2019-04-17,246.44,Recovering,653
654,2024-08-01,477.5,Healthy,654
655,2023-07-01,112.71,Sick,655
656,2022-07-22,110.04,Recovering,656
657,2024-09-24,428.98,Under Observation,657
658,2017-02-05,322.17,Sick,658
659,2020-04-19,62.18,Recovering,659
660,2025-09-14,145.97,Sick,660
661,2018-04-04,313.5,Healthy,661
662,2024-08-02,83.48,Sick,662
663,2013-04-17,272.07,Under Observation,663
664,2025-10-29,221.17,Healthy,664
665,2023-07-28,244.15,Under Observation,665
666,2022-01-05,264.03,Recovering,666
667,2024-05-03,338.57,Sick,667
668,2021-12-31,291.9,Critical,668
669,2018-04-08,497.89,Critical,669
670,2020-02-18,68.49,Recovering,670
671,2022-01-31,309.34,Sick,671
672,2018-10-04,390.75,Healthy,672
673,2024-05-16,269.33,Recovering,673
674,2023-10-28,257.9,Sick,674
675,2017-08-30,346.06,Critical,675
676,2022-12-22,286.54,Recovering,676
677,2026-03-07,113.13,Critical,677
678,2023-02-27,139.45,Under Observation,678
679,2023-11-15,451.11,Critical,679
680,2019-08-31,98.47,Critical,680
681,2020-11-23,256.01,Under Observation,681
682,2024-06-15,73.87,Healthy,682
683,2020-11-12,5.18,Under Observation,683
684,2024-03-16,477.15,Under Observation,684
685,2023-09-12,457.34,Sick,685
686,2023-03-19,256.82,Recovering,686
687,2011-12-05,63.31,Sick,687
688,2022-08-05,255.9,Recovering,688
689,2025-03-24,39.12,Sick,689
690,2023-06-20,164.42,Sick,690
691,2019-03-29,296.04,Under Observation,691
692,2024-11-16,425.79,Sick,692
693,2025-08-28,464.11,Healthy,693
694,2015-09-11,479.64,Sick,694
695,2022-04-27,398.25,Critical,695
696,2020-02-22,55.9,Healthy,696
697,2024-08-29,60.15,Healthy,697
698,2025-04-08,466.01,Sick,698
699,2019-08-16,462.9,Under Observation,699
700,2013-05-22,360.66,Healthy,700
701,2025-11-03,238.01,Under Observation,701
702,2017-02-09,5.65,Recovering,702
