AnimalID,Name,DateOfBirth,Gender,HabitatID,SpeciesID,DietPlanID
192,Animal_192,2014-10-02,Male,300,386,272
193,Animal_193,2024-08-10,Female,177,60,208
194,Animal_194,2017-04-23,Male,371,438,323
195,Animal_195,2018-10-02,Male,376,115,143
196,Animal_196,2012-11-25,Male,214,146,26
197,Animal_197,2021-12-31,Male,404,350,5
198,Animal_198,2021-05-11,Male,452,60,419
199,Animal_199,2018-11-12,Female,199,326,417
200,Animal_200,2022-10-22,Female,289,373,354
201,Animal_201,2018-11-21,Female,403,347,462
202,Animal_202,2023-06-03,Male,3,214,273
203,Animal_203,2010-12-14,Male,383,471,95
204,Animal_204,2022-05-26,Female,432,138,376
205,Animal_205,2016-04-14,Male,476,369,19
206,Animal_206,2015-12-06,Male,2,293,329
207,Animal_207,2016-09-02,Female,82,325,484
208,Animal_208,2022-01-30,Female,455,287,255
209,Animal_209,2017-11-08,Female,88,251,447
210,Animal_210,2023-08-12,Male,342,79,246
211,Animal_211,2022-11-08,Female,383,161,411
212,Animal_212,2014-09-23,Male,214,421,454
213,Animal_213,2015-08-28,Female,391,218,28
214,Animal_214,2019-12-19,Male,171,448,414
215,Animal_215,2010-09-19,Male,348,177,313
216,Animal_216,2018-02-10,Female,63,46,289
217,Animal_217,2021-05-19,Male,80,205,120
218,Animal_218,2024-01-23,Male,338,9,6
219,Animal_219,2018-11-05,Male,467,116,27
220,Animal_220,2010-07-04,Male,301,387,386
221,Animal_221,2011-03-20,Female,375,95,175
222,Animal_222,2011-04-02,Male,344,333,387
223,Animal_223,2022-01-25,Male,410,295,474
224,Animal_224,2023-02-18,Male,229,216,60
225,Animal_225,2021-06-06,Female,116,196,260
226,Animal_226,2012-09-21,Male,240,121,216
227,Animal_227,2016-06-04,Male,100,381,217
228,Animal_228,2013-08-21,Male,100,84,450
229,Animal_229,2014-06-28,Female,326,262,64
230,Animal_230,2010-08-01,Female,144,427,429
231,Animal_231,2013-03-26,Male,248,275,107
232,Animal_232,2024-09-20,Male,398,299,319
233,Animal_233,2014-08-17,Male,163,217,96
234,Animal_234,2023-10-05,Male,412,155,65
235,Animal_235,2018-06-27,Female,24,413,351
236,Animal_236,2012-11-16,Male,499,152,351
237,Animal_237,2022-01-05,Female,245,183,85
238,Animal_238,2013-09-10,Male,193,388,448
239,Animal_239,2021-03-23,Female,296,489,155
240,Animal_240,2018-11-13,Male,369,186,104
241,Animal_241,2017-12-03,Female,381,393,342
242,Animal_242,2012-08-19,Female,45,325,75
243,Animal_243,2013-12-03,Female,216,41,401
244,Animal_244,2013-11-02,Female,391,382,227
245,Animal_245,2011-02-02,Male,218,258,87
246,Animal_246,2010-03-04,Male,196,107,165
247,Animal_247,2018-07-17,Female,102,422,297
248,Animal_248,2012-05-12,Female,33,27,500
249,Animal_249,2015-10-12,Female,262,151,400
250,Animal_250,2017-12-21,Female,138,448,373
251,Animal_251,2011-09-23,Male,129,84,95
252,Animal_252,2020-10-23,Male,494,421,265
253,Animal_253,2019-04-28,Female,143,268,396
254,Animal_254,2017-06-24,Female,226,146,329
255,Animal_255,2016-08-27,Male,340,317,471
256,Animal_256,2022-10-31,Male,264,215,321
257,Animal_257,2011-12-13,Male,468,13,437
258,Animal_258,2010-11-22,Female,371,193,23
259,Animal_259,2014-09-13,Male,185,350,369
260,Animal_260,2020-04-02,Male,442,423,212
261,Animal_261,2013-06-29,Male,317,467,422
262,Animal_262,2022-07-04,Female,58,47,81
263,Animal_263,2024-02-24,Male,344,173,29
264,Animal_264,2021-07-14,Female,380,367,82
265,Animal_265,2019-06-15,Male,28,365,386
266,Animal_266,2021-05-11,Male,5,90,164
267,Animal_267,2019-03-06,Female,187,494,66
268,Animal_268,2013-11-24,Female,322,340,372
269,Animal_269,2021-11-11,Male,459,420,414
270,Animal_270,2014-05-20,Female,395,96,68
271,Animal_271,2015-09-14,Female,413,168,359
272,Animal_272,2024-07-25,Female,500,400,165
273,Animal_273,2024-01-25,Male,3,293,499
274,Animal_274,2013-10-03,Male,393,480,412
275,Animal_275,2022-06-02,Female,72,95,359
276,Animal_276,2024-10-11,Female,225,241,406
277,Animal_277,2018-01-20,Female,216,174,165
278,Animal_278,2024-05-28,Male,223,380,121
279,Animal_279,2015-09-21,Female,464,32,87
280,Animal_280,2023-12-18,Female,444,347,2
281,Animal_281,2020-06-21,Male,201,286,181
282,Animal_282,2015-05-19,Female,171,259,175
283,Animal_283,2011-08-24,Male,126,126,347
284,Animal_284,2021-03-10,Female,156,175,156
285,Animal_285,2021-01-17,Female,8,255,374
286,Animal_286,2023-07-07,Male,284,291,259
287,Animal_287,2016-07-16,Female,142,167,97
288,Animal_288,2014-10-11,Female,73,239,178
289,Animal_289,2010-08-03,Male,187,280,251
290,Animal_290,2014-05-26,Female,464,26,196
291,Animal_291,2018-05-19,Male,69,42,225
292,Animal_292,2016-05-07,Male,168,238,398
293,Animal_293,2019-09-08,Male,206,464,233
294,Animal_294,2015-08-02,Female,105,239,387
295,Animal_295,2013-01-10,Male,458,232,30
296,Animal_296,2018-05-29,Male,135,448,385
297,Animal_297,2014-02-25,Female,20,366,272
298,Animal_298,2016-04-17,Male,326,248,154
299,Animal_299,2014-10-16,Female,423,261,127
300,Animal_300,2015-12-11,Male,45,455,188
301,Animal_301,2016-10-25,Female,374,179,441
302,Animal_302,2024-07-24,Male,154,196,206
303,Animal_303,2023-03-06,Female,422,376,271
304,Animal_304,2023-11-19,Female,263,193,8
305,Animal_305,2017-07-24,Male,146,225,63
306,Animal_306,2024-03-12,Male,387,318,162
307,Animal_307,2020-11-26,Male,488,265,46
308,Animal_308,2023-12-30,Female,49,257,282
309,Animal_309,2016-01-10,Female,188,123,275
310,Animal_310,2017-02-14,Male,209,332,429
311,Animal_311,2011-08-09,Male,462,356,163
312,Animal_312,2014-07-06,Female,407,63,232
313,Animal_313,2014-02-04,Male,422,374,60
314,Animal_314,2012-08-07,Female,459,169,105
315,Animal_315,2020-10-25,Male,403,432,57
316,Animal_316,2018-04-23,Female,259,15,467
317,Animal_317,2023-04-05,Male,1,173,149
318,Animal_318,2020-01-09,Male,377,112,9
319,Animal_319,2024-01-03,Male,420,480,125
320,Animal_320,2016-03-15,Female,268,493,201
321,Animal_321,2013-11-19,Male,393,488,434
322,Animal_322,2015-02-28,Female,130,237,231
323,Animal_323,2017-06-20,Male,498,214,26
324,Animal_324,2017-07-30,Male,211,68,459
325,Animal_325,2017-05-10,Female,50,230,339
326,Animal_326,2010-07-27,Female,101,308,483
327,Animal_327,2011-07-18,Female,154,232,481
328,Animal_328,2013-04-17,Female,464,235,244
329,Animal_329,2023-10-20,Female,366,75,103
330,Animal_330,2016-06-26,Male,297,29,299
331,Animal_331,2023-09-17,Male,391,28,33
332,Animal_332,2018-04-06,Male,242,34,269
333,Animal_333,2022-07-28,Male,76,69,66
334,Animal_334,2024-12-31,Female,185,280,283
335,Animal_335,2010-05-31,Female,313,185,1
336,Animal_336,2016-11-24,Male,453,251,201
337,Animal_337,2012-02-10,Male,110,83,134
338,Animal_338,2010-01-05,Male,409,461,334
339,Animal_339,2016-05-18,Female,73,472,447
340,Animal_340,2018-04-27,Female,405,413,22
341,Animal_341,2020-12-14,Female,345,418,182
342,Animal_342,2018-06-28,Female,425,55,108
343,Animal_343,2018-02-01,Female,46,15,10
344,Animal_344,2024-08-29,Male,315,2,104
345,Animal_345,2021-01-04,Male,354,98,488
346,Animal_346,2012-07-11,Female,143,194,20
347,Animal_347,2013-11-16,Female,273,128,336
348,Animal_348,2010-12-02,Male,64,181,94
349,Animal_349,2022-05-30,Male,119,328,400
350,Animal_350,2015-06-07,Male,493,242,459
351,Animal_351,2013-01-30,Female,235,465,452
352,Animal_352,2019-05-09,Female,403,188,29
353,Animal_353,2013-12-04,Male,405,360,2
354,Animal_354,2022-03-27,Male,7,179,197
355,Animal_355,2010-05-05,Female,23,122,104
356,Animal_356,2022-05-04,Male,360,249,297
357,Animal_357,2014-05-12,Male,115,169,335
358,Animal_358,2023-06-03,Male,289,354,367
359,Animal_359,2022-03-21,Male,82,78,239
360,Animal_360,2023-07-06,Female,329,222,382
361,Animal_361,2012-09-01,Male,131,423,416
362,Animal_362,2020-04-18,Male,108,461,398
363,Animal_363,2014-02-18,Female,260,414,231
364,Animal_364,2013-05-26,Female,91,78,150
365,Animal_365,2020-01-24,Female,268,156,186
366,Animal_366,2011-01-24,Female,270,214,100
367,Animal_367,2014-05-14,Male,212,406,434
368,Animal_368,2021-05-22,Female,166,136,218
369,Animal_369,2023-03-08,Male,490,50,359
370,Animal_370,2020-10-02,Female,288,388,358
371,Animal_371,2012-08-04,Female,100,463,376
372,Animal_372,2019-02-02,Female,433,166,235
373,Animal_373,2021-04-22,Male,104,421,101
374,Animal_374,2021-02-06,Male,367,217,262
375,Animal_375,2016-06-19,Male,168,377,447
376,Animal_376,2024-04-04,Female,438,158,304
377,Animal_377,2018-06-02,Female,346,163,300
378,Animal_378,2013-11-10,Female,190,310,45
379,Animal_379,2010-02-21,Male,68,153,273
380,Animal_380,2013-03-01,Female,373,397,17
381,Animal_381,2012-03-22,Male,244,221,28
382,Animal_382,2015-04-23,Male,492,246,365
383,Animal_383,2024-06-09,Female,436,60,290
384,Animal_384,2018-05-09,Female,117,233,67
385,Animal_385,2024-05-07,Female,117,30,469
386,Animal_386,2018-01-01,Female,469,151,313
387,Animal_387,2024-07-28,Female,185,184,99
388,Animal_388,2021-10-11,Male,443,371,115
389,Animal_389,2018-04-14,Female,136,125,484
390,Animal_390,2017-08-30,Female,422,171,131
391,Animal_391,2013-06-02,Female,253,71,306
392,Animal_392,2014-03-21,Female,472,397,327
393,Animal_393,2013-06-19,Male,199,18,111
394,Animal_394,2024-04-11,Female,362,181,428
395,Animal_395,2016-11-28,Male,92,263,416
396,Animal_396,2018-08-18,Male,21,309,231
397,Animal_397,2020-10-27,Female,257,225,75
398,Animal_398,2013-11-04,Male,175,439,226
399,Animal_399,2015-10-05,Male,247,423,469
400,Animal_400,2016-12-26,Male,270,298,288
401,Animal_401,2020-04-22,Female,415,390,207
402,Animal_402,2012-04-08,Male,244,66,122
403,Animal_403,2019-12-08,Female,159,285,141
404,Animal_404,2018-08-20,Male,23,136,225
405,Animal_405,2017-07-08,Female,267,345,426
406,Animal_406,2022-01-30,Male,469,371,494
407,Animal_407,2021-08-10,Female,398,8,444
408,Animal_408,2017-09-25,Female,214,315,435
409,Animal_409,2021-07-07,Female,2,76,462
410,Animal_410,2022-09-17,Male,174,444,19
411,Animal_411,2024-06-01,Female,116,85,472
412,Animal_412,2019-03-08,Male,315,442,320
413,Animal_413,2014-09-20,Female,466,476,255
414,Animal_414,2013-05-27,Female,415,119,29
415,Animal_415,2020-10-01,Female,382,230,139
416,Animal_416,2011-07-23,Male,62,308,404
417,Animal_417,2014-09-21,Male,115,322,460
418,Animal_418,2024-10-27,Male,304,335,251
419,Animal_419,2012-08-29,Male,17,207,279
420,Animal_420,2013-12-20,Female,95,382,438
421,Animal_421,2020-01-30,Male,268,227,27
422,Animal_422,2010-06-27,Male,247,285,79
423,Animal_423,2018-02-23,Female,315,149,298
424,Animal_424,2015-11-10,Male,247,155,141
425,Animal_425,2024-09-15,Female,173,382,1
426,Animal_426,2017-09-20,Female,320,445,271
427,Animal_427,2017-05-08,Female,469,142,56
428,Animal_428,2014-12-03,Female,111,56,446
429,Animal_429,2016-04-08,Female,160,169,330
430,Animal_430,2012-07-01,Female,74,424,228
431,Animal_431,2020-02-27,Male,328,37,237
432,Animal_432,2014-03-09,Female,349,340,335
433,Animal_433,2021-04-24,Male,309,282,392
434,Animal_434,2012-08-31,Female,191,406,455
435,Animal_435,2020-08-07,Female,46,250,237
436,Animal_436,2016-04-05,Male,71,264,400
437,Animal_437,2011-05-26,Male,478,72,142
438,Animal_438,2012-06-30,Male,319,12,460
439,Animal_439,2015-01-15,Male,282,313,258
440,Animal_440,2013-02-22,Female,276,360,101
441,Animal_441,2017-06-29,Male,308,408,329
442,Animal_442,2012-03-29,Male,110,8,431
443,Animal_443,2021-03-26,Male,81,221,166
444,Animal_444,2015-03-17,Female,409,182,123
445,Animal_445,2015-02-11,Male,111,87,93
446,Animal_446,2019-08-16,Female,383,476,348
447,Animal_447,2019-02-28,Male,470,47,264
448,Animal_448,2018-11-11,Female,372,173,23
449,Animal_449,2023-11-14,Male,42,256,362
450,Animal_450,2021-06-10,Male,495,411,26
451,Animal_451,2018-11-19,Female,432,258,62
452,Animal_452,2021-01-28,Male,26,177,233
453,Animal_453,2017-12-25,Female,323,421,318
454,Animal_454,2017-11-27,Female,450,232,356
455,Animal_455,2016-08-17,Male,230,250,487
456,Animal_456,2019-04-07,Female,137,102,139
457,Animal_457,2015-11-28,Male,412,370,176
458,Animal_458,2016-10-22,Female,367,353,57
459,Animal_459,2010-12-11,Male,329,478,149
460,Animal_460,2023-01-17,Male,314,138,251
461,Animal_461,2024-05-16,Male,458,401,500
462,Animal_462,2017-06-02,Male,92,429,428
463,Animal_463,2018-11-21,Female,37,55,370
464,Animal_464,2012-04-14,Female,345,74,390
465,Animal_465,2016-03-24,Female,286,306,273
466,Animal_466,2018-04-20,Female,63,123,397
467,Animal_467,2013-05-13,Male,33,448,50
468,Animal_468,2013-06-07,Female,185,380,125
469,Animal_469,2023-07-13,Male,49,136,279
470,Animal_470,2016-10-21,Female,111,249,135
471,Animal_471,2018-05-01,Male,94,338,312
472,Animal_472,2010-02-08,Male,486,255,228
473,Animal_473,2012-09-22,Female,338,413,294
474,Animal_474,2022-12-02,Male,24,116,298
475,Animal_475,2018-05-20,Male,256,195,304
476,Animal_476,2012-03-13,Female,196,103,76
477,Animal_477,2021-03-16,Female,420,344,206
478,Animal_478,2018-01-31,Male,159,244,213
479,Animal_479,2024-07-15,Female,100,55,165
480,Animal_480,2016-12-18,Female,410,188,201
481,Animal_481,2020-11-07,Female,234,261,5
482,Animal_482,2023-05-07,Male,239,149,495
483,Animal_483,2021-05-16,Male,242,295,451
484,Animal_484,2016-02-04,Male,81,339,3
485,Animal_485,2014-09-22,Female,489,396,437
486,Animal_486,2015-11-19,Male,405,172,417
487,Animal_487,2013-01-20,Male,425,193,383
488,Animal_488,2023-10-10,Male,331,381,477
489,Animal_489,2023-12-18,Female,310,387,285
490,Animal_490,2016-03-17,Female,12,448,67
491,Animal_491,2011-04-21,Female,336,59,399
492,Animal_492,2017-05-02,Male,44,495,284
493,Animal_493,2010-10-10,Male,287,271,311
494,Animal_494,2023-10-21,Male,256,470,222
495,Animal_495,2016-10-03,Female,28,1,259
496,Animal_496,2024-07-21,Female,419,138,378
497,Animal_497,2024-09-11,Female,24,103,401
498,Animal_498,2011-05-02,Male,178,299,126
499,Animal_499,2020-08-27,Female,209,94,262
500,Animal_500,2024-05-08,Male,75,329,209
501,Animal_501,2019-08-03,Female,280,271,427
502,Animal_502,2021-05-04,Female,200,46,108
503,Animal_503,2023-05-05,Female,251,246,261
504,Animal_504,2023-05-29,Female,267,6,288
505,Animal_505,2017-03-07,Female,78,476,488
506,Animal_506,2024-05-12,Male,251,456,157
507,Animal_507,2012-05-14,Male,217,227,319
508,Animal_508,2013-01-19,Male,494,31,280
509,Animal_509,2010-08-30,Female,73,190,292
510,Animal_510,2021-09-13,Male,469,312,439
511,Animal_511,2015-08-31,Female,53,351,467
512,Animal_512,2012-08-26,Male,269,241,179
513,Animal_513,2018-05-04,Female,481,208,154
514,Animal_514,2021-06-23,Male,63,100,326
515,Animal_515,2014-09-19,Male,73,13,446
516,Animal_516,2020-11-09,Male,317,421,357
517,Animal_517,2012-04-14,Male,169,332,150
518,Animal_518,2020-03-17,Female,212,86,22
519,Animal_519,2013-09-23,Female,282,80,220
520,Animal_520,2010-06-27,Male,231,157,149
521,Animal_521,2011-08-04,Female,259,150,32
522,Animal_522,2016-08-21,Male,51,305,339
523,Animal_523,2018-03-19,Male,152,11,379
524,Animal_524,2012-09-09,Male,251,116,494
525,Animal_525,2020-06-25,Male,91,163,258
526,Animal_526,2021-10-29,Female,266,453,104
527,Animal_527,2017-10-19,Female,364,311,172
528,Animal_528,2022-06-20,Female,362,450,18
529,Animal_529,2015-03-08,Male,294,27,287
530,Animal_530,2021-08-15,Male,326,447,62
531,Animal_531,2023-08-03,Male,395,122,400
532,Animal_532,2019-07-01,Female,120,189,3
533,Animal_533,2023-12-14,Female,433,4,58
534,Animal_534,2018-06-19,Female,328,449,438
535,Animal_535,2020-06-06,Female,192,461,324
536,Animal_536,2024-10-22,Male,254,283,312
537,Animal_537,2020-03-03,Male,229,182,24
538,Animal_538,2014-09-05,Female,102,456,8
539,Animal_539,2019-09-14,Male,458,82,370
540,Animal_540,2013-09-24,Male,51,297,185
541,Animal_541,2013-01-15,Male,119,267,497
542,Animal_542,2017-04-01,Female,171,191,405
543,Animal_543,2012-01-07,Male,82,353,499
544,Animal_544,2018-04-10,Male,371,191,175
545,Animal_545,2015-11-06,Female,247,253,92
546,Animal_546,2022-02-15,Male,140,392,313
547,Animal_547,2011-04-23,Male,377,92,158
548,Animal_548,2012-03-18,Female,396,151,103
549,Animal_549,2015-05-04,Female,466,476,459
550,Animal_550,2016-12-19,Female,300,37,245
551,Animal_551,2023-09-13,Male,396,115,364
552,Animal_552,2016-03-15,Male,20,157,233
553,Animal_553,2013-05-18,Female,87,17,461
554,Animal_554,2013-09-12,Male,485,83,99
555,Animal_555,2015-03-24,Male,250,262,18
556,Animal_556,2014-11-12,Female,446,364,315
557,Animal_557,2016-08-19,Female,406,386,133
558,Animal_558,2017-01-27,Male,71,392,487
559,Animal_559,2022-01-14,Male,147,173,461
560,Animal_560,2023-12-09,Female,4,67,42
561,Animal_561,2011-03-21,Male,242,268,139
562,Animal_562,2017-03-19,Female,310,59,161
563,Animal_563,2013-01-17,Female,234,107,100
564,Animal_564,2010-06-29,Male,208,289,427
565,Animal_565,2013-01-11,Male,214,263,497
566,Animal_566,2015-09-05,Male,174,467,354
567,Animal_567,2019-03-21,Male,266,280,207
568,Animal_568,2014-08-27,Female,314,380,62
569,Animal_569,2018-01-14,Female,332,488,190
570,Animal_570,2016-01-26,Female,43,303,192
571,Animal_571,2010-02-27,Male,439,367,442
572,Animal_572,2019-04-29,Female,130,304,370
573,Animal_573,2018-12-08,Male,230,251,239
574,Animal_574,2018-07-02,Male,467,82,160
575,Animal_575,2017-02-07,Female,411,432,387
576,Animal_576,2012-10-01,Female,470,372,357
577,Animal_577,2015-11-16,Female,40,439,318
578,Animal_578,2014-04-13,Female,269,311,152
579,Animal_579,2012-10-05,Male,84,409,238
