ActivityID,ActivityTypeID,ActivityDate,SpecificDetails
49,473,2025-05-08,Specific observation for activity 49.
50,14,2023-03-20,Specific observation for activity 50.
51,295,2024-02-05,Specific observation for activity 51.
52,73,2025-01-02,Specific observation for activity 52.
53,399,2025-02-14,Specific observation for activity 53.
54,189,2025-03-24,Specific observation for activity 54.
55,224,2023-01-03,Specific observation for activity 55.
56,432,2023-08-12,Specific observation for activity 56.
57,358,2024-10-15,Specific observation for activity 57.
58,164,2024-04-19,Specific observation for activity 58.
59,268,2024-02-18,Specific observation for activity 59.
60,355,2024-12-13,Specific observation for activity 60.
61,339,2025-10-16,Specific observation for activity 61.
62,365,2023-10-28,Specific observation for activity 62.
63,56,2025-04-21,Specific observation for activity 63.
64,186,2023-12-21,Specific observation for activity 64.
65,340,2023-01-21,Specific observation for activity 65.
66,396,2024-03-28,Specific observation for activity 66.
67,11,2024-09-30,Specific observation for activity 67.
68,409,2024-01-22,Specific observation for activity 68.
69,230,2023-01-04,Specific observation for activity 69.
70,294,2024-11-21,Specific observation for activity 70.
71,315,2023-12-20,Specific observation for activity 71.
72,9,2024-10-05,Specific observation for activity 72.
73,497,2025-07-17,Specific observation for activity 73.
74,18,2024-05-26,Specific observation for activity 74.
75,53,2024-03-28,Specific observation for activity 75.
76,459,2023-11-02,Specific observation for activity 76.
77,474,2023-10-29,Specific observation for activity 77.
78,9,2025-01-24,Specific observation for activity 78.
79,355,2025-04-04,Specific observation for activity 79.
80,206,2023-08-10,Specific observation for activity 80.
81,78,2025-12-16,Specific observation for activity 81.
82,22,2025-02-11,Specific observation for activity 82.
83,192,2024-08-12,Specific observation for activity 83.
84,368,2024-11-28,Specific observation for activity 84.
85,424,2023-09-24,Specific observation for activity 85.
86,203,2025-06-11,Specific observation for activity 86.
87,137,2023-12-03,Specific observation for activity 87.
88,62,2024-04-11,Specific observation for activity 88.
89,154,2023-12-15,Specific observation for activity 89.
90,96,2025-06-08,Specific observation for activity 90.
91,48,2023-06-22,Specific observation for activity 91.
92,158,2024-11-13,Specific observation for activity 92.
93,299,2023-02-05,Specific observation for activity 93.
94,394,2025-11-01,Specific observation for activity 94.
95,214,2024-12-07,Specific observation for activity 95.
96,4,2023-03-25,Specific observation for activity 96.
97,317,2025-10-26,Specific observation for activity 97.
98,452,2024-04-03,Specific observation for activity 98.
99,2,2024-11-03,Specific observation for activity 99.
100,278,2024-02-13,Specific observation for activity 100.
101,492,2025-08-24,Specific observation for activity 101.
102,36,2023-10-28,Specific observation for activity 102.
103,189,2023-04-14,Specific observation for activity 103.
104,190,2023-04-19,Specific observation for activity 104.
105,223,2025-06-25,Specific observation for activity 105.
106,462,2024-02-08,Specific observation for activity 106.
107,57,2024-04-28,Specific observation for activity 107.
108,429,2025-09-22,Specific observation for activity 108.
109,171,2023-08-17,Specific observation for activity 109.
110,67,2024-11-06,Specific observation for activity 110.
111,142,2023-08-17,Specific observation for activity 111.
112,56,2025-10-05,Specific observation for activity 112.
113,492,2025-09-08,Specific observation for activity 113.
114,272,2024-03-19,Specific observation for activity 114.
115,29,2024-07-24,Specific observation for activity 115.
116,160,2023-12-04,Specific observation for activity 116.
117,444,2024-09-16,Specific observation for activity 117.
118,382,2025-11-02,Specific observation for activity 118.
119,112,2024-12-04,Specific observation for activity 119.
120,441,2023-03-10,Specific observation for activity 120.
121,73,2024-11-20,Specific observation for activity 121.
122,302,2024-03-10,Specific observation for activity 122.
123,232,2023-04-11,Specific observation for activity 123.
124,273,2023-08-31,Specific observation for activity 124.
125,59,2025-02-21,Specific observation for activity 125.
126,398,2023-01-13,Specific observation for activity 126.
127,216,2023-05-23,Specific observation for activity 127.
128,147,2024-12-08,Specific observation for activity 128.
129,313,2025-04-08,Specific observation for activity 129.
130,328,2023-09-25,Specific observation for activity 130.
131,484,2025-01-01,Specific observation for activity 131.
132,440,2025-05-02,Specific observation for activity 132.
133,380,2025-02-17,Specific observation for activity 133.
134,101,2023-06-23,Specific observation for activity 134.
135,141,2023-10-29,Specific observation for activity 135.
136,6,2024-11-13,Specific observation for activity 136.
137,318,2023-07-13,Specific observation for activity 137.
138,409,2023-05-08,Specific observation for activity 138.
139,129,2025-07-18,Specific observation for activity 139.
140,335,2023-04-18,Specific observation for activity 140.
141,299,2023-01-19,Specific observation for activity 141.
142,407,2024-11-23,Specific observation for activity 142.
143,135,2024-01-16,Specific observation for activity 143.
144,256,2023-07-06,Specific observation for activity 144.
145,298,2024-08-01,Specific observation for activity 145.
146,394,2025-02-19,Specific observation for activity 146.
147,161,2023-12-26,Specific observation for activity 147.
148,367,2024-11-12,Specific observation for activity 148.
149,299,2025-10-28,Specific observation for activity 149.
150,371,2023-04-16,Specific observation for activity 150.
151,54,2023-12-04,Specific observation for activity 151.
152,42,2024-04-14,Specific observation for activity 152.
153,62,2025-12-07,Specific observation for activity 153.
154,293,2023-12-17,Specific observation for activity 154.
155,460,2025-04-05,Specific observation for activity 155.
156,43,2025-09-20,Specific observation for activity 156.
157,299,2023-09-14,Specific observation for activity 157.
158,209,2023-03-30,Specific observation for activity 158.
159,306,2024-01-31,Specific observation for activity 159.
160,495,2024-05-29,Specific observation for activity 160.
161,430,2025-03-13,Specific observation for activity 161.
162,99,2023-04-30,Specific observation for activity 162.
163,473,2023-08-31,Specific observation for activity 163.
164,51,2023-02-02,Specific observation for activity 164.
165,379,2023-01-30,Specific observation for activity 165.
166,376,2025-06-30,Specific observation for activity 166.
167,61,2025-01-05,Specific observation for activity 167.
168,385,2024-06-13,Specific observation for activity 168.
169,92,2025-04-14,Specific observation for activity 169.
170,425,2024-04-27,Specific observation for activity 170.
171,326,2025-03-20,Specific observation for activity 171.
172,300,2024-04-16,Specific observation for activity 172.
173,456,2025-08-11,Specific observation for activity 173.
174,393,2023-04-05,Specific observation for activity 174.
175,35,2023-05-12,Specific observation for activity 175.
176,138,2023-11-28,Specific observation for activity 176.
177,445,2025-10-19,Specific observation for activity 177.
178,102,2024-04-24,Specific observation for activity 178.
179,128,2023-01-11,Specific observation for activity 179.
180,125,2025-09-15,Specific observation for activity 180.
181,434,2025-08-02,Specific observation for activity 181.
182,60,2024-08-27,Specific observation for activity 182.
183,379,2023-02-11,Specific observation for activity 183.
184,496,2023-07-20,Specific observation for activity 184.
185,13,2025-03-25,Specific observation for activity 185.
186,36,2024-10-21,Specific observation for activity 186.
187,4,2023-02-05,Specific observation for activity 187.
188,236,2023-05-06,Specific observation for activity 188.
189,11,2023-02-21,Specific observation for activity 189.
190,23,2023-03-19,Specific observation for activity 190.
191,49,2025-09-02,Specific observation for activity 191.
192,432,2023-11-28,Specific observation for activity 192.
193,75,2023-09-13,Specific observation for activity 193.
194,147,2024-07-08,Specific observation for activity 194.
195,62,2025-02-04,Specific observation for activity 195.
196,203,2024-11-19,Specific observation for activity 196.
197,42,2024-11-08,Specific observation for activity 197.
198,454,2024-05-11,Specific observation for activity 198.
199,307,2023-01-03,Specific observation for activity 199.
200,249,2024-12-16,Specific observation for activity 200.
201,18,2023-12-18,Specific observation for activity 201.
202,318,2023-05-24,Specific observation for activity 202.
203,297,2024-12-06,Specific observation for activity 203.
204,389,2025-12-03,Specific observation for activity 204.
205,462,2023-07-28,Specific observation for activity 205.
206,49,2025-07-31,Specific observation for activity 206.
207,286,2023-03-27,Specific observation for activity 207.
208,265,2024-04-19,Specific observation for activity 208.
209,340,2023-10-27,Specific observation for activity 209.
210,300,2024-10-21,Specific observation for activity 210.
211,424,2023-02-16,Specific observation for activity 211.
212,95,2024-04-20,Specific observation for activity 212.
213,64,2023-11-20,Specific observation for activity 213.
214,353,2023-07-25,Specific observation for activity 214.
215,136,2024-07-08,Specific observation for activity 215.
216,235,2025-09-23,Specific observation for activity 216.
217,70,2024-08-05,Specific observation for activity 217.
218,77,2024-12-10,Specific observation for activity 218.
219,436,2025-09-16,Specific observation for activity 219.
220,210,2025-04-11,Specific observation for activity 220.
221,278,2023-07-23,Specific observation for activity 221.
222,54,2024-01-07,Specific observation for activity 222.
223,249,2024-04-27,Specific observation for activity 223.
224,169,2025-10-09,Specific observation for activity 224.
225,376,2024-03-23,Specific observation for activity 225.
226,52,2024-07-27,Specific observation for activity 226.
227,221,2024-06-06,Specific observation for activity 227.
228,294,2024-01-07,Specific observation for activity 228.
229,216,2023-10-15,Specific observation for activity 229.
230,201,2023-06-06,Specific observation for activity 230.
231,264,2024-11-08,Specific observation for activity 231.
232,382,2023-05-10,Specific observation for activity 232.
233,339,2024-10-22,Specific observation for activity 233.
234,145,2025-09-15,Specific observation for activity 234.
235,491,2025-09-08,Specific observation for activity 235.
236,423,2025-03-23,Specific observation for activity 236.
237,372,2024-01-13,Specific observation for activity 237.
238,92,2023-10-30,Specific observation for activity 238.
239,162,2023-09-28,Specific observation for activity 239.
240,469,2023-07-11,Specific observation for activity 240.
241,197,2023-08-14,Specific observation for activity 241.
242,438,2025-09-30,Specific observation for activity 242.
243,264,2025-10-10,Specific observation for activity 243.
244,393,2025-11-23,Specific observation for activity 244.
245,261,2024-12-14,Specific observation for activity 245.
246,331,2025-01-09,Specific observation for activity 246.
247,200,2023-06-02,Specific observation for activity 247.
248,366,2025-12-17,Specific observation for activity 248.
249,98,2025-05-12,Specific observation for activity 249.
250,260,2025-01-14,Specific observation for activity 250.
251,418,2025-05-24,Specific observation for activity 251.
252,194,2024-11-03,Specific observation for activity 252.
253,58,2023-07-07,Specific observation for activity 253.
254,189,2025-06-14,Specific observation for activity 254.
255,74,2023-05-17,Specific observation for activity 255.
256,241,2023-07-18,Specific observation for activity 256.
257,173,2024-02-02,Specific observation for activity 257.
258,358,2025-05-07,Specific observation for activity 258.
259,79,2024-08-03,Specific observation for activity 259.
260,70,2024-10-05,Specific observation for activity 260.
261,496,2024-11-29,Specific observation for activity 261.
262,213,2025-03-28,Specific observation for activity 262.
263,405,2023-04-11,Specific observation for activity 263.
264,131,2025-10-06,Specific observation for activity 264.
265,19,2023-02-18,Specific observation for activity 265.
266,443,2023-09-22,Specific observation for activity 266.
267,186,2024-06-02,Specific observation for activity 267.
268,139,2025-09-11,Specific observation for activity 268.
269,262,2025-04-07,Specific observation for activity 269.
270,301,2025-02-19,Specific observation for activity 270.
271,238,2025-01-11,Specific observation for activity 271.
272,361,2023-08-04,Specific observation for activity 272.
273,117,2025-06-29,Specific observation for activity 273.
274,315,2025-08-04,Specific observation for activity 274.
275,76,2025-04-26,Specific observation for activity 275.
276,453,2024-07-29,Specific observation for activity 276.
277,318,2023-07-14,Specific observation for activity 277.
278,43,2024-09-16,Specific observation for activity 278.
279,387,2023-04-08,Specific observation for activity 279.
280,436,2025-02-27,Specific observation for activity 280.
281,475,2025-02-25,Specific observation for activity 281.
282,249,2024-04-07,Specific observation for activity 282.
283,326,2024-05-03,Specific observation for activity 283.
284,247,2023-04-12,Specific observation for activity 284.
285,154,2023-12-29,Specific observation for activity 285.
286,236,2025-11-20,Specific observation for activity 286.
287,201,2023-11-26,Specific observation for activity 287.
288,214,2023-09-18,Specific observation for activity 288.
289,163,2025-10-19,Specific observation for activity 289.
290,366,2023-03-05,Specific observation for activity 290.
291,195,2025-02-07,Specific observation for activity 291.
292,6,2025-04-16,Specific observation for activity 292.
293,361,2024-03-22,Specific observation for activity 293.
294,454,2025-11-30,Specific observation for activity 294.
295,257,2025-05-25,Specific observation for activity 295.
296,413,2023-05-07,Specific observation for activity 296.
297,97,2025-10-31,Specific observation for activity 297.
298,268,2025-07-18,Specific observation for activity 298.
299,45,2025-07-05,Specific observation for activity 299.
300,10,2025-05-23,Specific observation for activity 300.
301,99,2023-01-09,Specific observation for activity 301.
302,291,2025-06-16,Specific observation for activity 302.
303,298,2023-10-18,Specific observation for activity 303.
304,376,2023-04-01,Specific observation for activity 304.
305,487,2024-05-17,Specific observation for activity 305.
306,331,2024-10-29,Specific observation for activity 306.
307,341,2024-12-05,Specific observation for activity 307.
308,406,2024-10-22,Specific observation for activity 308.
309,466,2025-10-20,Specific observation for activity 309.
310,418,2023-10-29,Specific observation for activity 310.
311,190,2025-07-10,Specific observation for activity 311.
312,318,2024-06-25,Specific observation for activity 312.
313,131,2024-01-04,Specific observation for activity 313.
314,358,2023-07-24,Specific observation for activity 314.
315,466,2023-11-23,Specific observation for activity 315.
316,305,2025-02-15,Specific observation for activity 316.
317,439,2023-10-26,Specific observation for activity 317.
318,58,2023-06-07,Specific observation for activity 318.
319,330,2023-05-20,Specific observation for activity 319.
320,114,2025-08-30,Specific observation for activity 320.
321,459,2025-05-07,Specific observation for activity 321.
322,391,2023-02-14,Specific observation for activity 322.
323,70,2023-01-04,Specific observation for activity 323.
324,2,2023-06-30,Specific observation for activity 324.
325,163,2025-11-10,Specific observation for activity 325.
326,47,2025-09-22,Specific observation for activity 326.
327,420,2023-04-26,Specific observation for activity 327.
328,473,2024-10-02,Specific observation for activity 328.
329,50,2025-10-13,Specific observation for activity 329.
330,314,2024-03-26,Specific observation for activity 330.
331,24,2025-09-29,Specific observation for activity 331.
332,469,2025-09-16,Specific observation for activity 332.
333,334,2025-01-11,Specific observation for activity 333.
334,18,2023-07-11,Specific observation for activity 334.
335,331,2024-07-19,Specific observation for activity 335.
336,56,2023-04-20,Specific observation for activity 336.
337,227,2025-06-24,Specific observation for activity 337.
338,447,2025-02-18,Specific observation for activity 338.
339,149,2024-11-15,Specific observation for activity 339.
340,74,2025-10-02,Specific observation for activity 340.
341,63,2023-12-29,Specific observation for activity 341.
342,341,2024-07-02,Specific observation for activity 342.
343,421,2023-01-26,Specific observation for activity 343.
344,270,2025-03-19,Specific observation for activity 344.
345,55,2023-06-05,Specific observation for activity 345.
346,29,2025-08-09,Specific observation for activity 346.
347,365,2023-11-11,Specific observation for activity 347.
348,138,2023-06-27,Specific observation for activity 348.
349,182,2024-01-10,Specific observation for activity 349.
350,96,2024-05-25,Specific observation for activity 350.
351,57,2024-10-07,Specific observation for activity 351.
352,80,2023-03-14,Specific observation for activity 352.
353,68,2023-08-21,Specific observation for activity 353.
354,269,2024-02-02,Specific observation for activity 354.
355,434,2025-08-22,Specific observation for activity 355.
356,35,2023-06-07,Specific observation for activity 356.
357,377,2023-10-27,Specific observation for activity 357.
358,78,2023-09-19,Specific observation for activity 358.
359,220,2024-03-19,Specific observation for activity 359.
360,167,2024-11-12,Specific observation for activity 360.
361,231,2025-01-16,Specific observation for activity 361.
362,393,2024-07-15,Specific observation for activity 362.
363,273,2025-09-29,Specific observation for activity 363.
364,254,2023-12-01,Specific observation for activity 364.
365,185,2024-12-23,Specific observation for activity 365.
366,84,2025-03-04,Specific observation for activity 366.
367,135,2025-09-04,Specific observation for activity 367.
368,487,2024-10-19,Specific observation for activity 368.
369,134,2024-11-04,Specific observation for activity 369.
370,445,2023-01-18,Specific observation for activity 370.
371,44,2023-04-20,Specific observation for activity 371.
372,297,2023-07-04,Specific observation for activity 372.
373,82,2024-11-26,Specific observation for activity 373.
374,58,2025-01-16,Specific observation for activity 374.
375,292,2025-04-23,Specific observation for activity 375.
376,93,2023-07-16,Specific observation for activity 376.
377,22,2025-03-26,Specific observation for activity 377.
378,155,2024-10-09,Specific observation for activity 378.
379,450,2023-09-29,Specific observation for activity 379.
380,457,2024-05-19,Specific observation for activity 380.
381,483,2024-11-07,Specific observation for activity 381.
382,486,2024-03-29,Specific observation for activity 382.
383,353,2023-01-23,Specific observation for activity 383.
384,185,2025-05-08,Specific observation for activity 384.
385,49,2023-08-22,Specific observation for activity 385.
386,266,2025-12-20,Specific observation for activity 386.
387,340,2023-02-25,Specific observation for activity 387.
388,146,2023-08-01,Specific observation for activity 388.
389,69,2024-09-03,Specific observation for activity 389.
390,248,2024-02-04,Specific observation for activity 390.
391,48,2025-12-12,Specific observation for activity 391.
392,337,2025-10-23,Specific observation for activity 392.
393,308,2025-02-07,Specific observation for activity 393.
394,191,2023-10-27,Specific observation for activity 394.
395,107,2024-08-13,Specific observation for activity 395.
396,182,2023-12-05,Specific observation for activity 396.
397,15,2025-01-13,Specific observation for activity 397.
398,457,2024-01-15,Specific observation for activity 398.
399,495,2023-02-10,Specific observation for activity 399.
400,114,2024-07-04,Specific observation for activity 400.
401,226,2025-10-15,Specific observation for activity 401.
402,55,2023-05-24,Specific observation for activity 402.
403,293,2025-02-20,Specific observation for activity 403.
404,499,2024-07-14,Specific observation for activity 404.
405,2,2023-09-06,Specific observation for activity 405.
406,227,2023-01-30,Specific observation for activity 406.
407,121,2024-05-27,Specific observation for activity 407.
408,7,2025-09-28,Specific observation for activity 408.
409,358,2024-10-31,Specific observation for activity 409.
410,56,2025-12-18,Specific observation for activity 410.
411,245,2025-06-05,Specific observation for activity 411.
412,410,2023-04-08,Specific observation for activity 412.
413,349,2025-12-15,Specific observation for activity 413.
414,427,2025-05-19,Specific observation for activity 414.
415,416,2024-08-24,Specific observation for activity 415.
416,60,2025-09-10,Specific observation for activity 416.
417,327,2023-04-19,Specific observation for activity 417.
418,150,2025-06-04,Specific observation for activity 418.
419,1,2025-12-08,Specific observation for activity 419.
420,409,2025-02-26,Specific observation for activity 420.
421,450,2024-06-22,Specific observation for activity 421.
422,416,2024-11-17,Specific observation for activity 422.
423,374,2023-08-24,Specific observation for activity 423.
424,327,2025-06-02,Specific observation for activity 424.
425,431,2023-04-13,Specific observation for activity 425.
426,237,2023-08-09,Specific observation for activity 426.
427,129,2025-11-01,Specific observation for activity 427.
428,496,2023-03-13,Specific observation for activity 428.
429,102,2024-11-21,Specific observation for activity 429.
430,194,2025-06-26,Specific observation for activity 430.
431,407,2024-10-11,Specific observation for activity 431.
432,464,2023-11-28,Specific observation for activity 432.
433,277,2024-02-03,Specific observation for activity 433.
434,493,2023-03-21,Specific observation for activity 434.
435,114,2023-04-02,Specific observation for activity 435.
436,106,2025-06-09,Specific observation for activity 436.
437,128,2025-02-08,Specific observation for activity 437.
438,177,2025-05-10,Specific observation for activity 438.
439,261,2023-10-12,Specific observation for activity 439.
440,238,2024-12-17,Specific observation for activity 440.
441,66,2025-09-07,Specific observation for activity 441.
442,190,2025-09-01,Specific observation for activity 442.
443,222,2024-07-23,Specific observation for activity 443.
444,497,2023-10-17,Specific observation for activity 444.
445,429,2023-01-25,Specific observation for activity 445.
446,369,2024-12-12,Specific observation for activity 446.
447,92,2023-08-16,Specific observation for activity 447.
448,96,2023-10-19,Specific observation for activity 448.
449,258,2024-11-25,Specific observation for activity 449.
450,345,2024-02-16,Specific observation for activity 450.
451,208,2025-03-16,Specific observation for activity 451.
452,401,2025-11-21,Specific observation for activity 452.
453,423,2025-02-15,Specific observation for activity 453.
454,167,2025-09-29,Specific observation for activity 454.
455,110,2023-05-15,Specific observation for activity 455.
456,199,2023-01-04,Specific observation for activity 456.
457,83,2024-11-15,Specific observation for activity 457.
458,69,2025-05-03,Specific observation for activity 458.
459,498,2025-12-15,Specific observation for activity 459.
460,284,2023-11-29,Specific observation for activity 460.
461,112,2023-04-13,Specific observation for activity 461.
462,291,2024-04-27,Specific observation for activity 462.
463,498,2024-03-17,Specific observation for activity 463.
464,241,2024-11-02,Specific observation for activity 464.
465,169,2025-11-04,Specific observation for activity 465.
466,159,2024-07-10,Specific observation for activity 466.
467,140,2024-07-20,Specific observation for activity 467.
468,66,2025-01-31,Specific observation for activity 468.
469,395,2023-12-25,Specific observation for activity 469.
470,443,2024-03-18,Specific observation for activity 470.
471,370,2024-10-12,Specific observation for activity 471.
472,200,2025-06-13,Specific observation for activity 472.
473,206,2023-01-03,Specific observation for activity 473.
474,155,2023-09-24,Specific observation for activity 474.
475,69,2023-11-18,Specific observation for activity 475.
476,245,2023-01-25,Specific observation for activity 476.
477,11,2024-07-03,Specific observation for activity 477.
478,448,2023-09-19,Specific observation for activity 478.
479,397,2025-03-21,Specific observation for activity 479.
480,214,2024-03-13,Specific observation for activity 480.
481,335,2025-03-02,Specific observation for activity 481.
482,496,2024-04-02,Specific observation for activity 482.
483,229,2023-12-26,Specific observation for activity 483.
484,320,2023-09-05,Specific observation for activity 484.
485,292,2023-08-13,Specific observation for activity 485.
486,108,2025-05-25,Specific observation for activity 486.
487,261,2024-07-20,Specific observation for activity 487.
488,102,2023-03-11,Specific observation for activity 488.
489,357,2023-07-04,Specific observation for activity 489.
490,480,2025-12-29,Specific observation for activity 490.
491,295,2025-04-19,Specific observation for activity 491.
492,15,2023-02-18,Specific observation for activity 492.
493,247,2024-06-07,Specific observation for activity 493.
494,386,2025-07-04,Specific observation for activity 494.
495,248,2024-07-02,Specific observation for activity 495.
496,77,2023-12-05,Specific observation for activity 496.
497,167,2024-09-12,Specific observation for activity 497.
498,428,2024-09-12,Specific observation for activity 498.
499,246,2024-06-07,Specific observation for activity 499.
500,148,2023-09-04,Specific observation for activity 500.
